Compound_ID,MW,LogP,HBD,HBA,Predicted_dG,Lipinski_Violations,Drug_Like,Binding_Category
VL_0651,584.8956094945345,3.8694497598203634,5,5,-10.732668095238095,1,True,Strong
VL_0021,546.5648768921554,3.784253232053249,1,6,-10.690883333333328,1,True,Strong
VL_0886,584.6707325736033,3.4202417382294104,4,4,-10.674405000000002,1,True,Strong
VL_0324,609.238727568546,3.7297524657393026,2,4,-10.658108095238092,1,True,Strong
VL_0114,646.3242112485286,3.743522831958907,2,4,-10.655393095238091,1,True,Strong
VL_0421,606.0747924881987,3.807444118574449,0,4,-10.649991428571425,1,True,Strong
VL_0168,589.6792982653948,3.8458636800785393,1,4,-10.649789761904758,1,True,Strong
VL_0123,540.2794310936099,3.9580953330437767,1,6,-10.64168821428571,1,True,Strong
VL_0962,532.9152530132432,3.4283311122864855,1,4,-10.620544166666663,1,True,Strong
VL_0932,588.115706944059,3.7450488348547823,2,7,-10.609214063492066,1,True,Strong
VL_0914,557.7453279763474,3.7512667124166854,2,3,-10.606481428571426,1,True,Strong
VL_0770,581.2448557996929,3.8272280640607015,1,2,-10.571004761904758,1,True,Strong
VL_0249,576.5454240281097,3.3506788676861214,4,6,-10.535313333333336,1,True,Strong
VL_0655,657.335980324986,3.5077257651925366,0,3,-10.528933095238092,1,True,Strong
VL_0910,616.3254723305461,3.21441464214556,2,5,-10.495259999999998,1,True,Strong
VL_0107,588.618590121053,3.9191608575938544,0,3,-10.494079642857137,1,True,Strong
VL_0362,553.2738913002578,3.8689372494016325,1,8,-10.431727428571426,1,True,Strong
VL_0584,627.0692857804396,3.0925197747719575,3,7,-10.419554777777783,1,True,Strong
VL_0072,553.8036566465969,3.715561240834682,1,8,-10.416977428571427,1,True,Strong
VL_0417,555.1151975522523,3.0855196873456268,2,6,-10.409583333333336,1,True,Strong
VL_0822,540.9347440185579,3.1152778244381523,2,6,-10.402653333333335,1,True,Strong
VL_0895,538.2158991037527,2.867455561191997,3,4,-10.384708333333336,1,True,Strong
VL_0136,554.993440501754,4.446130752432536,2,5,-10.378642182539682,1,True,Strong
VL_0007,557.9212815507392,4.342789830041598,1,5,-10.375155515873013,1,True,Strong
VL_0283,558.6016816145352,4.062163015032885,4,5,-10.369217182539682,1,True,Strong
VL_0267,563.2411303931635,2.8331609079769495,1,4,-10.357809999999999,1,True,Strong
VL_0394,583.1458765854354,3.2048029966241063,0,6,-10.331393333333335,1,True,Strong
VL_0739,566.5474444462577,4.425461387960364,2,4,-10.309388849206348,1,True,Strong
VL_0461,596.472513291639,2.7923160240243394,1,4,-10.304466666666666,1,True,Strong
VL_0763,656.0084538268795,3.113150458352389,1,2,-10.304186666666666,1,True,Strong
VL_0435,550.2357052096028,2.749317429320383,1,5,-10.28221,1,True,Strong
VL_0474,536.6874267444525,3.0220322920937956,1,7,-10.281503611111113,1,True,Strong
VL_0987,550.339830176715,4.087643680271996,1,3,-10.28016218253968,1,True,Strong
VL_0623,588.2024496475034,4.378843401862805,4,7,-10.278951246031747,1,True,Strong
VL_0904,527.8451862607299,3.554463288297141,2,4,-10.269975222222223,1,True,Strong
VL_0615,644.5751979616826,2.7292801296140614,0,4,-10.266831666666667,1,True,Strong
VL_0968,580.0940432910816,2.7730900745197324,1,4,-10.26136,1,True,Strong
VL_0855,542.0504247989854,4.500873477064467,1,3,-10.259290753968251,1,True,Strong
VL_0966,544.0117215449472,3.134371021882873,0,2,-10.256695,1,True,Strong
VL_0899,520.6508966508356,3.841379171911858,5,7,-10.239396777777777,1,True,Strong
VL_0997,579.7686526849523,2.96021811112641,1,3,-10.239265,1,True,Strong
VL_0271,544.1273289066115,4.636965180891403,4,2,-10.228739087301587,1,True,Strong
VL_0881,652.6932425873622,4.447277449646187,4,3,-10.219611777777779,1,True,Strong
VL_0422,575.5340842443204,4.608761005964704,2,8,-10.148317468253966,1,True,Strong
VL_0863,554.7505201330061,4.190233080828319,4,8,-10.144444373015872,1,True,Strong
VL_0945,584.6636996047666,3.932357834784076,1,9,-10.129056289377289,1,True,Strong
VL_0826,545.3384477117701,3.6629109743541135,3,9,-10.107237051282052,1,True,Strong
VL_0768,577.080063563551,2.736171281351495,0,0,-10.06848,1,True,Strong
VL_0178,545.3534077157317,2.852490559807875,2,8,-10.05072696825397,1,True,Strong
VL_0854,518.9016531107552,4.378731260415002,2,5,-10.025492999999997,1,True,Strong
VL_0610,549.6044311489184,2.6214697468105688,2,6,-10.013644999999999,1,True,Strong
VL_0437,562.8615545571292,2.6269633107246793,2,7,-9.996628968253969,1,True,Strong
VL_0565,520.1213922163945,4.10526584563865,1,4,-9.980660349206346,1,True,Strong
VL_0307,527.7664895788425,3.042271736053692,2,7,-9.971040468253971,1,True,Strong
VL_0702,504.90092258368895,3.7337806952214954,3,3,-9.933034746031746,1,True,Strong
VL_0083,547.7894044741516,2.517547423173926,5,5,-9.929783333333328,1,True,Strong
VL_0204,505.3802052034903,3.814947043554582,2,3,-9.911864746031746,1,True,Strong
VL_0652,512.6565029547758,3.48869447487325,0,7,-9.864380904761907,1,True,Strong
VL_0670,509.15068519224616,3.820100352302069,1,3,-9.850360534632033,1,True,Strong
VL_0315,530.5478807154329,3.015528929765071,5,3,-9.825979388888888,1,True,Strong
VL_0735,502.91556373256435,4.199912852913075,3,4,-9.820975452380953,1,True,Strong
VL_0630,509.41915184709484,4.27916051268333,3,5,-9.811830452380953,1,True,Strong
VL_0823,629.889812361925,2.6627160272878823,1,8,-9.797675444444442,1,True,Strong
