Compound_ID,MW,LogP,HBD,HBA,Predicted_dG,Lipinski_Violations,Drug_Like,Binding_Category
VL_0001,449.67141530112326,5.099033154879003,1,7,-8.432051113997105,1,True,Moderate
VL_0002,386.1735698828815,4.386950524369153,1,1,-7.158724644522148,0,True,Moderate
VL_0003,464.76885381006923,3.0894455548802613,2,3,-8.550903555555548,0,True,Moderate
VL_0004,552.3029856408025,2.029594833441639,3,7,-9.320584523809517,1,True,Strong
VL_0005,376.5846625276664,4.047334970420385,3,5,-8.188603605921857,0,True,Moderate
VL_0006,376.58630430508197,3.5902280781326246,0,9,-7.463327000582752,0,True,Moderate
VL_0007,557.9212815507392,4.342789830041598,1,5,-10.375155515873013,1,True,Strong
VL_0008,476.7434729152909,3.9527577025229546,1,4,-8.5093376060606,0,True,Moderate
VL_0009,353.05256140650476,4.574329072979003,4,5,-8.000781832112335,0,True,Moderate
VL_0010,454.25600435859644,2.197147182659148,1,7,-8.351093709235197,0,True,Moderate
VL_0011,353.65823071875377,4.976091098451489,4,3,-7.294820748779005,0,True,Moderate
VL_0012,353.4270246429743,3.2963994070385993,0,6,-7.287842762487514,0,True,Moderate
VL_0013,424.1962271566034,6.112891308937899,3,7,-7.667120597985347,1,True,Moderate
VL_0014,208.67197553422022,1.9662182728656483,1,4,-5.947493716089464,0,True,Weak
VL_0015,227.50821674869673,5.603945704747874,2,4,-7.056155607725604,1,True,Moderate
VL_0016,343.77124707590275,3.296866175193972,4,4,-8.094442859890114,0,True,Moderate
VL_0017,298.71688796655764,2.0228729945783277,2,3,-7.232989439255196,0,True,Moderate
VL_0018,431.4247332595274,2.2741712489185177,1,4,-8.214081616744357,0,True,Moderate
VL_0019,309.1975924478789,2.51947903770852,1,2,-6.997971704045957,0,True,Weak
VL_0020,258.76962986647084,3.636248919602875,2,7,-7.727754829947831,0,True,Moderate
VL_0021,546.5648768921554,3.784253232053249,1,6,-10.690883333333328,1,True,Strong
VL_0022,377.4223699513464,2.139449994092131,2,7,-7.941784774392278,0,True,Moderate
